gen,cand,arm_ke,arm_kd,hand_ke,hand_kd,friction,object_mass,joint_armature,add_apple_0,add_baseball_0,add_beige_brush_2,add_donut_0,add_coffee_tin_0,mean_add
15,6,16667,25.58,12.478,2.4708,0.89393,0.16822,0.042731,0.02547,0.00209,0.02895,0.05047,0.09732,0.04086
15,7,7004.4,36.772,105.32,3.4659,0.63972,0.21346,0.05464,1.00000,0.00209,0.02699,0.04947,0.04573,0.22486
16,0,19880,162.26,22.58,0.8393,0.36545,0.40922,0.094805,0.03141,0.00209,0.04549,0.05618,0.04728,0.03649
16,1,13433,16.966,66.519,0.48045,0.35146,0.15161,0.017639,0.03199,0.00209,0.02688,0.05156,0.05093,0.03269
16,2,10538,91.163,121.57,1.8099,0.42386,0.60487,0.061579,0.03194,0.00209,0.03995,0.05563,0.04577,0.03508
16,3,15502,237.26,109.44,3.5899,0.3418,0.4904,0.037315,0.02951,0.00209,0.02994,0.05210,0.04866,0.03246
16,4,10842,156.28,93.908,0.31226,0.26568,0.19867,0.03031,0.02550,0.00209,0.02747,0.04987,0.06905,0.03480
16,5,7336.7,27.706,53.819,2.4364,0.22312,0.062005,0.062077,0.02466,0.00209,0.03782,0.05523,0.04713,0.03339
16,6,8342.3,15.938,88.936,0.87501,0.46874,0.1805,0.033041,0.02545,0.00209,0.02892,0.05030,0.04726,0.03081
16,7,14261,53.982,48.761,0.98755,0.84903,0.26212,0.057364,1.00000,0.00209,0.02696,0.04945,0.07748,0.23120
17,0,19752,48.742,72.851,0.69933,0.21084,0.5744,0.091391,0.02995,0.00209,0.04478,0.05445,0.04817,0.03589
17,1,8984,50.876,67.094,0.82693,0.20949,0.60407,0.023738,0.03622,0.00209,0.02678,0.05151,0.04903,0.03313
17,2,3964,95.258,60.923,2.6419,0.20977,0.66154,0.088408,0.03141,0.00209,0.03878,0.05524,0.04844,0.03519
17,3,14840,213.19,15.853,14.81,0.42184,0.10064,0.077378,0.03034,0.00209,0.03112,0.05181,0.04249,0.03157
17,4,7267,188.85,18.09,1.7468,0.3768,0.39781,0.047238,0.02588,0.00209,0.02805,0.04982,0.04697,0.03057
17,5,19634,15.854,60.928,6.5089,0.91933,0.13379,0.03626,0.02547,0.00209,0.03362,0.05457,0.04191,0.03153
17,6,19998,42.072,141.92,1.7987,0.21777,0.29126,0.019155,0.02473,0.00209,0.02865,0.05057,0.04911,0.03103
17,7,19981,66.336,127.36,0.57252,0.64379,0.48313,0.092456,1.00000,0.00209,0.02693,0.04953,0.04149,0.22401
18,0,3851.2,18.133,50.504,0.56454,0.20374,0.12514,0.046393,0.03308,0.00209,0.04549,0.05595,0.04655,0.03663
18,1,17311,175.48,53.22,1.4555,0.28896,0.29702,0.027853,0.03482,0.00209,0.02638,0.05140,0.04898,0.03274
18,2,8287.8,22.296,51.902,3.1411,0.26393,0.73392,0.076101,0.03234,0.00209,0.03653,0.05655,0.05041,0.03558
18,3,9910.8,62.522,33.854,1.1592,0.87876,0.17952,0.030581,0.02960,0.00209,0.03060,0.05259,0.04591,0.03216
18,4,3292.4,52.894,61.118,0.81093,0.60329,0.11664,0.090809,0.02596,0.00209,0.02966,0.05007,0.04945,0.03145
18,5,19993,23.736,229.71,6.7462,0.54663,0.25691,0.087335,0.02545,0.00209,0.03624,0.05383,0.08150,0.03982
18,6,9431.1,63.813,21.345,4.2318,0.39221,0.28765,0.046463,0.02549,0.00209,0.02983,0.04981,0.07489,0.03642
18,7,18171,386.53,67.236,19.49,0.22409,0.6776,0.010899,1.00000,0.00209,0.02662,0.04944,0.04841,0.22531
19,0,10264,126.95,79.263,1.9327,1.1855,0.10501,0.069711,0.03358,0.00209,0.05093,0.05453,0.06625,0.04148
19,1,4333.5,98.086,13.946,2.8099,0.69949,0.086532,0.028796,0.03388,0.00209,0.02756,0.05140,0.09167,0.04132
19,2,18952,94.741,239.26,0.66524,0.29859,0.44457,0.09895,0.03167,0.00209,0.03688,0.05541,0.04828,0.03487
19,3,6423.4,50.267,40.003,1.0589,0.40154,0.2529,0.071309,0.03068,0.00209,0.03158,0.05196,0.04608,0.03248
19,4,2088.1,91.479,8.5403,1.852,0.25794,0.10637,0.059615,0.02532,0.00209,0.02805,0.05026,0.04471,0.03009
19,5,12196,173.33,170.45,2.0843,1.412,0.27802,0.0093484,0.02543,0.00209,0.03189,0.05489,0.06854,0.03657
